cleaned_ocr,common_name,scientific_name,range,specimen_sketched,plate_number,corrected_plate,page_id,state,country
"VIRGINIA SPIDERWORT

Tradescantia virginiana Linnaeus

The Virginia spiderwort loves the rich borders of woods and thickets, and is loveliest in the morning, when its blue petals open wide, showing the golden anthers in sharp contrast. The plant continues in bloom for some time, new flowers opening each morning, and enticing the bees to a fresh feast of nectar. These insect visitors are necessary to cross-fertilization, and carry from one blossom to the next a heavy load of pollen.

The genus is named for John Tradescant, gardener to King Charles I of England, and belongs in the same family as the dayflower. This and the Pickerelweed Family are closely related.

The Virginia spiderwort may be found from Virginia to Arkansas, northward to South Dakota and southern New York.

The specimen sketched grew near Washington, District of Columbia.

PLATE 40",VIRGINIA SPIDERWORT,Tradescantia virginiana Linnaeus,"The Virginia spiderwort may be found from Virginia to Arkansas, northward to South Dakota and southern New York.","The specimen sketched grew near Washington, District of Columbia.",40,40,42602669,District of Columbia,USA
"LEATHERFLOWER

Clematis viorna Linnaeus

The leatherflower is not so showy as the other members of the clematis group, nevertheless its graceful stems and leaves and reddish purple blossoms are not uninteresting. The sepals are remarkable in being a sixteenth of an inch thick, as if made of leather instead of the delicate tissue usual in flowers in which petals are lacking and the sepals are required to take their place. The feathery fruit, more attractive than the flowers, is erect and silky, each individual ""seed"" possessing a tail almost two inches long, by means of which it may be carried by the wind, when ripe, to a favorable situation.

This scrambling vine may be found in thickets where the soil is rocky but rather rich, from Alabama and Georgia northward to Ohio and Pennsylvania.

The sketch was made from a specimen gathered near Washington, District of Columbia.

PLATE 41",LEATHERFLOWER,Clematis viorna Linnaeus,"This scrambling vine may be found in thickets where the soil is rocky but rather rich, from Alabama and Georgia northward to Ohio and Pennsylvania.","The sketch was made from a specimen gathered near Washington, District of Columbia.",41,41,42602670,District of Columbia,USA
"PURPLE SAXIFRAGE

Saxifraga oppositifolia Linnaeus

The purple saxifrage is truly an alpine plant. In the Canadian Rockies it is found above tree line near the melting snows on southern slopes, where it comes quickly into bloom in the long days of early summer, and as quickly is past, leaving the matted rosettes of tiny, bright green leaves, dotted with dull red seed capsules, to reward our search, if, perchance, we are a few days too late to find it in bloom. It delights in disintegrated limestone, often growing in cracks between the rocks. Though plentiful in its chosen situation, it is not often seen by visitors, who must make a hard climb to reach its haunts. In Alaska and near the Arctic Circle, it finds the most favorable conditions for perfect development, growing into large mats.

The purple saxifrage is typical of Arctic regions throughout the world, and no doubt survived the glacial period close to the margins of the great ice sheets. When these withdrew, it followed back on the bare rock surfaces. It is now found occasionally in the northern United States, from Wyoming to Vermont, and more abundantly northward.

The specimen sketched grew on the slopes of Fossil Mountain near Baker Lake, seven miles northeast of Lake Louise Station, Alberta, at an altitude of 8,000 feet.

PLATE 42",PURPLE SAXIFRAGE,Saxifraga oppositifolia Linnaeus,"It is now found occasionally in the northern United States, from Wyoming to Vermont, and more abundantly northward.","The specimen sketched grew on the slopes of Fossil Mountain near Baker Lake, seven miles northeast of Lake Louise Station, Alberta, at an altitude of 8,000 feet.",42,42,42602671,Alberta,Canada
"FLAME AZALEA

Azalea lutea Linnaeus

The flame azalea is the most conspicuous of the native members of this genus. Its brilliant orange or yellow coloring, frequently suffused with red, attracts attention even from a distance, and when the mountain sides are flecked with it, the effect is particularly striking. The green leaves, which are well developed before the flowers open, add greatly to the beauty of the plant. It yields easily to cultivation and under favorable conditions, when grown with other plants requiring an acid soil, is one of the loveliest native shrubs for planting.

Flame azalea is a typical member of the flora of our Southern Appalachians, ranging from the uplands of Georgia northward, and being abundant as far as West Virginia. In the mountains of Pennsylvania it is rare, and though reported many years ago to grow in southern New York State, it has long since disappeared from there as a native plant.

The sketch was made from a specimen obtained near Linville, North Carolina.

PLATE 43",FLAME AZALEA,Azalea lutea Linnaeus,"Flame azalea is a typical member of the flora of our Southern Appalachians, ranging from the uplands of Georgia northward, and being abundant as far as West Virginia. In the mountains of Pennsylvania it is rare, and though reported many years ago to grow in southern New York State, it has long since disappeared from there as a native plant.","The sketch was made from a specimen obtained near Linville, North Carolina.",43,43,42602672,North Carolina,USA
"RABBITBEAN

Cracca virginiana Linnaeus

The gray-green foliage of the rabbitbean makes a delightful background for its straw-colored, pea-shaped flowers, touched with red, and crowded at the end of a stiff stem. The plant blooms in early summer and is to be found in dry, sandy, acid soil. Should you wish to gather a bunch, you will find the stems and the unusually long roots surprisingly tough, and a serviceable substitute for twine, if necessity demands. It is, indeed, commonly known in the South as devil's shoe-string.

The seeds are in bean-shaped pods, which are frequently rifled by weevils, so that few of them ever reach maturity.

The Indians used a tropical American species of this genus as fish poison in the same manner in which they employed many other plants, throwing the macerated stems into quiet streams or ponds, with the result that the fish became stupefied and floated on the surface of the water, so that they were easily taken.

Rabbitbean ranges from Texas to Florida and northward to Manitoba and Ontario.

The specimen sketched was collected near Washington, District of Columbia.

PLATE 44",RABBITBEAN,Cracca virginiana Linnaeus,Rabbitbean ranges from Texas to Florida and northward to Manitoba and Ontario.,"The specimen sketched was collected near Washington, District of Columbia.",44,44,42602673,District of Columbia,USA
"TULIPTREE

Liriodendron tulipifera Linnaeus

This beautiful tree is a joy to behold at any season of the year. Its bare gray branches outlined against the winter sky impress one with their vigor of growth and sturdy health, and when the warmer days and April showers swell the buds, and the tiny young leaves appear, the tree bursts into its supreme glory. If in a sunny situation, it is soon covered with green tulip-shaped flowers, each cup beautifully decorated with a brilliant orange bar, to entice the visiting bees. In autumn the leaves are a mass of orange and gold.

The tuliptree is the only member of the genus Liriodendron in America, though a closely related species flourishes in central China, these two being the sole survivals of the Cretaceous Period, when members of the genus were widely distributed in America and Europe. Though it reaches its greatest size in the lower Ohio Basin, sometimes growing almost 200 feet high, it is found in the eastern United States from Louisiana to Florida and northward to Michigan and southern Vermont.

The wood has a variety of commercial uses, while the bark, especially that of the roots, yields a tonic and heart stimulant. The blossom of the tuliptree is the State flower of Indiana.

The specimen sketched was obtained at Washington, District of Columbia.

PLATE 49",TULIPTREE,Liriodendron tulipifera Linnaeus,"Though it reaches its greatest size in the lower Ohio Basin, sometimes growing almost 200 feet high, it is found in the eastern United States from Louisiana to Florida and northward to Michigan and southern Vermont.","The specimen sketched was obtained at Washington, District of Columbia.",49,45,42602674,District of Columbia,USA
"TRUMPET HONEYSUCKLE

Lonicera sempervirens Linnaeus

While tramping through open woods or along streams in low ground, the attention may be attracted to a bit of red color quite in contrast to the brown leaves and gray tree trunks or low-growing bushes. Closer inspection reveals the gray stems that lead to the leafy shoots above, where the delicate trumpet-shaped flowers are clustered at the ends of the branches. Few vines are more attractive; the plant seems to poise itself in the most graceful way as it climbs from one supporting shrub to another.

The flower is a great favorite with hummingbirds, which frequently are seen probing the trumpets to obtain the delicious nectar to be found in them.

The fruit is a brilliant scarlet berry. The plant is a great addition to any wild garden.

Trumpet honeysuckle ranges from Texas to Florida, and northward to Nebraska, its northern limit being reached in New York and southern New England.

The specimen sketched was collected at Yemassee, South Carolina.

PLATE 46",TRUMPET HONEYSUCKLE,Lonicera sempervirens Linnaeus,"Trumpet honeysuckle ranges from Texas to Florida, and northward to Nebraska, its northern limit being reached in New York and southern New England.","The specimen sketched was collected at Yemassee, South Carolina.",46,46,42602675,South Carolina,USA
"RED BUCKEYE

Aesculus pavia Linnaeus

The red buckeye is a straggling, inconspicuous shrub in the southern woods until it comes into bloom, when it immediately attracts attention by its bright red flowers which are borne in a loose spike. The stems of the new growths also are red at blooming time, and the tender green leaves with their red stems make an appropriate setting for the flower spikes. It is usually a shrub three or four feet high, but in favorable situations it sometimes attains tree size, although never approaching the stature of its relatives, the Ohio buckeye and the horsechestnut.

Red buckeye is a southern species, ranging from Texas to Florida, and extending northward as far as southern Missouri and southeastern Virginia.

The specimen sketched was collected near Beaufort, South Carolina.

PLATE 47",RED BUCKEYE,Aesculus pavia Linnaeus,"Red buckeye is a southern species, ranging from Texas to Florida, and extending northward as far as southern Missouri and southeastern Virginia.","The specimen sketched was collected near Beaufort, South Carolina.",47,47,42602676,South Carolina,USA
"ROSE PAINTBRUSH

Castilleja pallida (Linnaeus) Kunth

Crossing alpine meadows above tree line and on high passes in the Canadian Rockies, one often finds the drier ground covered with masses of rose paintbrush, growing in company with saxifrages and forget-me-nots, wherever soil resulting from the disintegrating rock has been deposited. The rose paintbrush varies from two to eight inches in height, according to altitude and local conditions. The leafy bracts, often mistaken for petals, range in color from greenish-white or pale yellow to various shades of mulberry or dull pink. The actual flowers have a dull-colored corolla, and are concealed between the bracts. The plant belongs to the Figwort Family.

Rose paintbrush grows from Alberta and British Columbia to Alaska, and also in Siberia.

The specimen sketched was obtained on the Clearwater River thirty miles north of Lake Louise Station in British Columbia, at an altitude of 8,000 feet.

PLATE 48",ROSE PAINTBRUSH,Castilleja pallida (Linnaeus) Kunth,"Rose paintbrush grows from Alberta and British Columbia to Alaska, and also in Siberia.","The specimen sketched was obtained on the Clearwater River thirty miles north of Lake Louise Station in British Columbia, at an altitude of 8,000 feet.",48,48,42602677,British Columbia,Canada
"SHOOTINGSTAR

Dodecatheon meadia Linnaeus

Shootingstar is not particular in choosing a habitat, for it is found in open woods, on moist hillsides, or where the meadows broaden into prairies. It belongs to the Primrose Family, and is distantly related to the Asiatic cyclamen familiar in cultivation, being in fact sometimes called wild cyclamen. It thrives in rich garden soil, where the flowers often become larger than in the wild state, and it should find a place in our gardens.

This species of shootingstar has a rather wide distribution, ranging through the prairies, where the flowers are often red, from Texas to Georgia, and northward into Manitoba; it also extends eastward through the Appalachians, reaching the Piedmont from North Carolina to Pennsylvania. The genus Dodecatheon is best represented in the West, where many species occur.

The specimen sketched was obtained near Washington, District of Columbia.

PLATE 49",SHOOTINGSTAR,Dodecatheon meadia Linnaeus,"This species of shootingstar has a rather wide distribution, ranging through the prairies, where the flowers are often red, from Texas to Georgia, and northward into Manitoba; it also extends eastward through the Appalachians, reaching the Piedmont from North Carolina to Pennsylvania.","The specimen sketched was obtained near Washington, District of Columbia.",49,49,42602678,District of Columbia,USA
"PRAIRIE PENTSTEMON

Pentstemon erizanthera Pursh

Prairie pentstemon is one of a large genus of plants, embracing about one hundred and forty species, all of which are natives of North America. Wherever present, they are likely to be found in great numbers, especially in the West, where they are very conspicuous. This species grows in small clumps on dry hillsides. Its large flowers are wonderfully varied in coloration, ranging from blue, through various shades of dull purple, to pale pink. They belong in the Figwort Family.

The prairie pentstemon may be found from Nevada, Nebraska, and North Dakota to British Columbia and Washington.

The specimen sketched was obtained near Sinclair Hot Springs, in the Columbia River Valley, British Columbia, at an elevation of 2,500 feet.

PLATE 50",PRAIRIE PENTSTEMON,Pentstemon erizanthera Pursh,"The prairie pentstemon may be found from Nevada, Nebraska, and North Dakota to British Columbia and Washington.","The specimen sketched was obtained near Sinclair Hot Springs, in the Columbia River Valley, British Columbia, at an elevation of 2,500 feet.",50,50,42602679,British Columbia,Canada
"WILD SWEET CRAB

Malus coronaria (Linnaeus) Miller

What sweeter blossoms are to be found in spring than those of the wild sweet crab? It is usually a low bushy tree, growing perhaps twenty feet high, with tangled branches making a flat top, quite inconspicuous in its wild surroundings. But when early spring is past, and the bushes are masses of tender green, the pink buds appear, and soon the whole is covered with lovely flowers, whose sweet scent is wafted far on every breeze. The fruit, also, is sweet-scented, and can be made into elegant delicious jelly.

The wild sweet crab is a native of the Central States, extending from Louisiana and Alabama northward to Michigan and Ontario, but in cultivation over a much wider range.

This specimen was collected near Washington, District of Columbia.

PLATE 41",WILD SWEET CRAB,Malus coronaria (Linnaeus) Miller,"The wild sweet crab is a native of the Central States, extending from Louisiana and Alabama northward to Michigan and Ontario, but in cultivation over a much wider range.","This specimen was collected near Washington, District of Columbia.",41,51,42602680,District of Columbia,USA
"PITCHERPLANT

Sarracenia purpurea Linnaeus

The pitcherplant is found in peat bogs, where the acid soil provides ideal conditions for its successful growth. The pitcher-shaped leaves grow from a central crown, and are partially filled with water and a digestive substance. The inner surfaces of the leaves are lined with bristles which project downward, and these prevent many small insects that slide into the water from escaping. Thus they are trapped, drowned, and digested. These dead insects are also used as food by the larvae of several species of sarcophagous flies, which are instrumental in the cross-pollination of the flower, and are always found where the pitcherplant grows.

The flowers are borne on a stem from six inches to two feet tall, a vigorous plant often yielding seven or eight blossoms.

A cool greenhouse is necessary for successful indoor cultivation. It is well to place the plant in a flower pot filled with acid soil made from a mixture of peat and sand, and to set this pot inside another of two inches greater diameter, the space between the two being filled with sphagnum moss, which should be kept moist.

The pitcherplant is one of the plants that was pushed southward by the ice cap during glacial times. Since the great ice sheet retreated it has been gradually moving northward, and now ranges from Florida to Kentucky and Iowa, and north to Labrador and Manitoba.

The specimen sketched was collected in eastern Maryland.

PLATE 52",PITCHERPLANT,Sarracenia purpurea Linnaeus,"The pitcherplant is one of the plants that was pushed southward by the ice cap during glacial times. Since the great ice sheet retreated it has been gradually moving northward, and now ranges from Florida to Kentucky and Iowa, and north to Labrador and Manitoba.",The specimen sketched was collected in eastern Maryland.,52,52,42602681,Maryland,USA
"PRAIRIE-SMOKE

Szeversia ciliata (Pursh) Don

This pretty and graceful plant grows in grassy meadows, where its red flowers, which resemble buds, its crimson stems, and plumed fruit immediately attract attention. In late summer the silky fruit heads give to dense patches of the plants dispersed over the plains, a purplish hazy appearance, when viewed from a distance.

The plant belongs to that group of the Rose Family which includes the cinquefoils and barren-strawberries, and is most nearly related to the geums, being in fact listed in some books as Geum triflorum.

As its name suggests, this plant is typical of the prairie region of the United States, ranging from New Mexico to Missouri and northward. It extends well up into the eastern valleys of the Rocky Mountains, as far north as Alberta, and has also migrated across southern Canada and the northern United States as far as Maine.

The specimen sketched was collected near Banff, Alberta, Canada, at an altitude of 4,000 feet.

PLATE 53",PRAIRIE-SMOKE,Szeversia ciliata (Pursh) Don,"As its name suggests, this plant is typical of the prairie region of the United States, ranging from New Mexico to Missouri and northward. It extends well up into the eastern valleys of the Rocky Mountains, as far north as Alberta, and has also migrated across southern Canada and the northern United States as far as Maine.","The specimen sketched was collected near Banff, Alberta, Canada, at an altitude of 4,000 feet.",53,53,42602682,Alberta,Canada
"WINTERBERRY

Ilex verticillata (Linnaeus) Gray

In spring, when all nature is awakening, we easily overlook this inconspicuous shrub, from four to six feet tall, with tender leaves and tiny flowers, growing in damp acid ground among the other denizens of neglected places. But when autumn passes and the stems are stripped of their leaves, the fine red berries come into their own, and lend a delightful touch of color to the winter landscape. The whole top of the bush is covered with berries, and it then vies with its cousin, the holly, in beauty and interest, and in radiating Christmas cheer and goodwill.

The berries stay on the branches till late winter, and are rarely eaten by birds. A form with yellow fruit has been found in New England.

Another member of the genus Ilex is the well-known shrub, maté, whose leaves are largely used in South America for making a beverage similar to Chinese tea. From yaupon, an Ilex of our Southern States, the Indians make a stimulating drink, and it is now being placed on the market, under the name Cassina, as a substitute for tea.

Winterberry ranges from Missouri to Florida, and northward to Wisconsin and Nova Scotia.

The specimen sketched was collected near Washington, District of Columbia.

PLATE 54",WINTERBERRY,Ilex verticillata (Linnaeus) Gray,"Winterberry ranges from Missouri to Florida, and northward to Wisconsin and Nova Scotia.","The specimen sketched was collected near Washington, District of Columbia.",54,54,42602683,District of Columbia,USA
"SWEET AZALEA

Azalea arborescens Pursh

The sweet azalea is one of the contributions to our flora from the Appalachian Mountains, where so many attractive plants were found by the early botanists. Its delightfully fragrant, spicy, white flowers appear in June when the leaves are well developed and afford a fine green background for the blossoms. The foliage often turns brilliant red in late autumn.

The plant loves a well drained, deep, moist, acid soil, and under favorable conditions becomes a spreading clump, which blooms freely. It is perhaps the largest of our native azaleas, occasionally attaining a height of twenty feet.

Sweet azalea occurs in the mountains from Georgia northward into Pennsylvania.

The sketch was made from a plant found in the vicinity of Linville, North Carolina, at the foot of Grandfather Mountain.

PLATE 55",SWEET AZALEA,Azalea arborescens Pursh,Sweet azalea occurs in the mountains from Georgia northward into Pennsylvania.,"The sketch was made from a plant found in the vicinity of Linville, North Carolina, at the foot of Grandfather Mountain.",55,55,42602684,North Carolina,USA
"KRUHSEA

Kruhsea streptopoides (Ledebour) Kearney

Anyone who has visited Glacier House, and walked to the foot of the Illecillewaet Glacier, may have noticed beds of shiny green-leaved plants suggestive of a small Solomon's seal. The tiny greenish, bell-shaped flowers hang from the under side of the stem, however, and are usually missed by the transient visitor, whose efforts are centered merely on climbing the trail to reach the edge of the ice. This rare member of the Lily-of-the-valley Family has a somewhat restricted range, and is especially interesting because it is one of those plants common to both the American and Asiatic shores of the Pacific Ocean.

It may be found from northern Washington to southern Alaska and in the Selkirks of British Columbia; also in Japan and Siberia.

The specimen sketched grew at Glacier, British Columbia, at an elevation of 3,500 feet.

PLATE 56",KRUHSEA,Kruhsea streptopoides (Ledebour) Kearney,It may be found from northern Washington to southern Alaska and in the Selkirks of British Columbia; also in Japan and Siberia.,"The specimen sketched grew at Glacier, British Columbia, at an elevation of 3,500 feet.",56,56,42602685,British Columbia,Canada
"KRUHSEA

Kruhsea streptopotdes (Ledebour) Kearney

The change wrought in vegetation during a few weeks of growing weather is very great in mountain regions at the latitude of Glacier House, and when autumn approaches, the tiny green flowers of Kruhsea have developed rapidly into large, pulpy, red berries, which contrast strikingly with the yellow leaves and soon fall to the ground.

On this continent Kruhsea grows from northern Washington to southern Alaska, and in Asia it is recorded from both Japan and Siberia.

The specimen sketched was obtained at the same locality as the flowers shown in the preceding plate, at Glacier, British Columbia, at 3,500 feet elevation.

PLATE 56A",KRUHSEA,Kruhsea streptopotdes (Ledebour) Kearney,"On this continent Kruhsea grows from northern Washington to southern Alaska, and in Asia it is recorded from both Japan and Siberia.","The specimen sketched was obtained at the same locality as the flowers shown in the preceding plate, at Glacier, British Columbia, at 3,500 feet elevation.",56A,56a,42602686,British Columbia,Canada
"ARETHUSA

Arethusa bulbosa Linnaeus

The arethusa has a single large, one-sided flower with a delicate scent like that of fresh red raspberries. The recurved lip, with its fringes, forms a capital landing platform for visiting insects. As with many other orchids, the bees are frequent visitors to this plant. The flower is so constructed that the bee, in raising his head to depart after sipping the nectar, comes in contact with a few soft pellets of pollen, which are deposited upon his head from the helmet-shaped anther. Some of this pollen may be transferred to the stigmas of the next flower that he visits, although more often it is brushed off by other parts of the flower. Because of the infrequency of cross-pollination, seeds rarely mature.

The name was given to the plant by Linnaeus, who recalled the myth of the nymph Arethusa, changed by Diana into a fountain, in order to protect her from the river god Alphaeus, who fell deeply in love with her on seeing her at her bath.

Owing to the great demand for this orchid by European collectors, it has been nearly exterminated in many sphagnum bogs where it formerly grew in great abundance.

Arethusa may be found from North Carolina north to Maine and Newfoundland, and westward to Indiana and Minnesota.

The specimen sketched was obtained from a swamp a few miles east of Washington, District of Columbia, where the plant is extremely rare.

PLATE 57",ARETHUSA,Arethusa bulbosa Linnaeus,"Arethusa may be found from North Carolina north to Maine and Newfoundland, and westward to Indiana and Minnesota.","The specimen sketched was obtained from a swamp a few miles east of Washington, District of Columbia, where the plant is extremely rare.",57,57,42602687,District of Columbia,USA
"PALE LADYSLIPPER

Cypripedium acaule Aiton

The pale ladyslipper is even lovelier than the common form of this beautiful orchid, which has pink flowers. The pale form is frequent in the North, but one who is so fortunate as to find it in the more southern part of its range experiences a thrill that is not likely to be forgotten. If the soil is kept strongly acid, the plant will readily yield to culture in a wildflower garden, and will flourish in either dry or moist situations, and in sun or shade. A dressing of pine needles or oak leaves will help to conserve the moisture, as well as the acidity of the soil. No attempt should be made, however, to cultivate it in regular garden soil, for there it is sure to die.

The pale ladyslipper may be found from North Carolina and Tennessee northward to Manitoba and Newfoundland.

The specimen sketched grew near Washington, District of Columbia.

PLATE 58",PALE LADYSLIPPER,Cypripedium acaule Aiton,The pale ladyslipper may be found from North Carolina and Tennessee northward to Manitoba and Newfoundland.,"The specimen sketched grew near Washington, District of Columbia.",58,58,42602688,District of Columbia,USA
"QUAKER LADIES

Houstonia caerulea Linnaeus

Quakerladies, sometimes called bluets and innocence, are among our earliest spring flowers, and delight flower lovers by their dainty growth and faint, sweet odor. Occurring plentifully in moist meadows and wayside places, they sometimes completely carpet the ground. They may be gathered freely, without fear of extermination. They continue blooming into early summer, and frequently put forth a second bloom in late fall. No wildflower garden would be complete without them, a rather sterile and acid soil and a fair amount of sunshine being all that they ask.

Linnaeus named this plant in honor of Dr. William Houston, a young English botanist, who died in South America after an exhausting collecting trip around the Gulf of Mexico in 1733.

Quakerladies are widely distributed, being found from Georgia and Alabama northward to eastern Canada and Michigan.

The plant sketched grew at Washington, District of Columbia.

PLATE 59",QUAKER LADIES,Houstonia caerulea Linnaeus,"Quakerladies are widely distributed, being found from Georgia and Alabama northward to eastern Canada and Michigan.","The plant sketched grew at Washington, District of Columbia.",59,59,42602689,District of Columbia,USA
"BEARBERRY HONEYSUCKLE

Lonicera involucrata (Richardson) Banks

Bearberry honeysuckle is a plant that is conspicuous in July when the fruit ripens. The coarse, hairy leaves are of a dark rich green, and the twin berries, glossy black in color, are surrounded by a red frill, a combination which makes the bush very decorative. The unpretentious straw-colored flowers may sometimes be found on the younger branches along with the fruit produced by those that come into bloom earlier. If the bush is shaken, the ripe fruit falls easily. Its disagreeable flavor has gained for it the name of skunkberry in some regions.

Bearberry honeysuckle may be found from Quebec to Michigan, New Mexico, and California, and northward to Alaska.

The specimen sketched was collected near Hector, British Columbia, at an elevation of 4,000 feet.

PLATE 60",BEARBERRY HONEYSUCKLE,Lonicera involucrata (Richardson) Banks,"Bearberry honeysuckle may be found from Quebec to Michigan, New Mexico, and California, and northward to Alaska.","The specimen sketched was collected near Hector, British Columbia, at an elevation of 4,000 feet.",60,60,42602690,British Columbia,Canada
"PINK FLEABANE

Erigeron caespitosus Nuttall

The pink fleabane may be seen in great perfection in June in the upper Columbia River Valley. It seems to delight in dry, sandy soils, and especially after a shower, its graceful clumps of daisylike flowers, variously shaded from white to pink or pale purple, are a delight to the eye. It is a member of a group of plants widely distributed in North America, and represented in the Rocky Mountains by a hundred or more species.

Pink fleabane ranges from Colorado and Utah to the Yukon.

The specimen drawn was collected in the Saskatchewan River Valley, fifty miles north of Lake Louise, Alberta, at an altitude of 3,500 feet.

PLATE 61",PINK FLEABANE,Erigeron caespitosus Nuttall,Pink fleabane ranges from Colorado and Utah to the Yukon.,"The specimen drawn was collected in the Saskatchewan River Valley, fifty miles north of Lake Louise, Alberta, at an altitude of 3,500 feet.",61,61,42602691,Alberta,Canada
"LABRADOR-TEA

Ledum groenlandicum Oeder

Who that has traveled by the Canadian Pacific Railway in June, along the north shore of Lake Superior and across the boggy country traversed by that railroad, has not noticed the masses of low bushes covered with feathery heads of white flowers? When the mountains are reached we still find the shrub growing luxuriantly in full sunshine or adapting itself to more shaded situations, provided the ground is sufficiently wet. The margins of the leaves are rolled, and their under surface is covered with brown wool.

The leaves have an aromatic fragrance, and were used by the early settlers as a substitute for tea, but the beverage is rather too much like turpentine to be palatable.

Labrador-tea is one of the members of the Heath Family and is at home in northern regions. During the glacial period it probably survived near the margins of the ice sheets, and when these melted back, followed them closely and became widespread in the glaciated territory, wherever acid soils developed. It now grows from the highlands of New Jersey northward and westward far into the Rocky Mountains and the Arctic regions. It was in fact given the specific name groenlandicum because it was first discovered in Greenland.

The specimen sketched came from the White Mountains in New Hampshire.

PLATE 62",LABRADOR-TEA,Ledum groenlandicum Oeder,It now grows from the highlands of New Jersey northward and westward far into the Rocky Mountains and the Arctic regions.,The specimen sketched came from the White Mountains in New Hampshire.,62,62,42602692,New Hampshire,USA
"NORTHERN BEDSTRAW

Galium boreale Linnaeus

In many parts of North America, northern bedstraw is a familiar plant. Although essentially northern in its distribution, as its name implies, it is not an Arctic plant but seems to thrive best in regions of only moderately cold climate. In the central and southern Rockies, it is abundant at middle and high altitudes, but farther north, it frequents the foothills, extending out upon the plains. The plant sometimes forms dense clumps which afford a bouquet of feathery white flower sprays that are delicately scented. In the Rockies, the name wild heliotrope is occasionally applied to the plant, although its fragrance is scarcely suggestive of our garden heliotrope.

Northern bedstraw grows in a great variety of situations, on open banks among rocks and grasses, in aspen thickets, or along streams, where the abundant moisture develops luxuriant plants that are sometimes two feet high. The species ranges from Pennsylvania, Missouri, and southern California, northward over the greater part of Canada and Alaska, and is widely distributed also in northern Europe and Asia.

This plant is one of a large group of the Madder Family, some members of which produce, in their roots, a red or purple dye. Most of our American bedstraws are unattractive plants, with weak rough stems and insignificant flowers.

The sketch was made from a specimen found near Banff, Alberta, Canada.

PLATE 63",NORTHERN BEDSTRAW,Galium boreale Linnaeus,"The species ranges from Pennsylvania, Missouri, and southern California, northward over the greater part of Canada and Alaska, and is widely distributed also in northern Europe and Asia.","The sketch was made from a specimen found near Banff, Alberta, Canada.",63,63,42602693,Alberta,Canada
"BRONZEBELLS

Stenanthium occidentale Gray

Bronzebells is so delicate and graceful a lily, and has such a modest coloring of green and dark maroon, that it is almost hidden among the vegetation of the moist rich woods, where it prefers to grow. Flowering in company with Rocky Mountain rhododendron and menziesia, it is always a delight to the lover of the beautiful who has eyes to see the variety in nature’s handiwork, and will search for her hidden treasures.

Bronzebells ranges from Montana and Oregon to Alberta and British Columbia.

The specimen sketched was obtained in the Yoho Valley, ten miles from Field, British Columbia, at an altitude of 4,500 feet.

PLATE 64",BRONZEBELLS,Stenanthium occidentale Gray,Bronzebells ranges from Montana and Oregon to Alberta and British Columbia.,"The specimen sketched was obtained in the Yoho Valley, ten miles from Field, British Columbia, at an altitude of 4,500 feet.",64,64,42602694,British Columbia,Canada
"ROUNDLEAF ORCHIS

Orchis rotundifolia Pursh

The roundleaf orchis loves the wet shores of alpine lakes and frequently grows in sphagnum moss along the borders of mountain brooks in partially shaded, wet places. Where conditions are favorable it occurs in abundance, though often overlooked by the flower lover because of larger and tankier plants surrounding it. The single rounded leaf is a distinguishing characteristic, and the sweet scent of the flowers is so pervasive that it sometimes attracts attention before the bloom is discovered. Except for a single Alaskan species, it is the only American member of a group represented in Europe and Asia by eighty species or more.

The roundleaf orchis is a plant of northern range and is not known to grow south of the limits reached by the ice sheets of the glacial period. It must have survived close to the edge of the ice, and migrated back rapidly when this retreated. Although it died out from the places where it survived glaciation, it has subsequently spread across the continent, from northern Maine to British Columbia and northward to Greenland and Alaska.

The specimen sketched grew at Emerald Lake, seven miles from Field, British Columbia, at an altitude of 3,800 feet.

PLATE 65",ROUNDLEAF ORCHIS,Orchis rotundifolia Pursh,"The roundleaf orchis is a plant of northern range and is not known to grow south of the limits reached by the ice sheets of the glacial period. It has spread across the continent, from northern Maine to British Columbia and northward to Greenland and Alaska.","The specimen sketched grew at Emerald Lake, seven miles from Field, British Columbia, at an altitude of 3,800 feet.",65,65,42602695,British Columbia,Canada
"PRICKLY CURRANT

Ribes lacustre (Persoon) Poiret

The prickly currant is a beautiful bush when in bloom. Its graceful branches are then ornamented with dainty racemes of yellowish flowers, shaded with red, and the delicate green leaves are of a tint best suited to show them off to perfection. When growing on a steep slope, with full exposure to the sun, the plant is so pleasing that one wonders why it has not been transplanted to cultivated gardens.

Prickly currant is found from Pennsylvania to Newfoundland and from California to Alaska.

The specimen sketched was collected on the slopes of Mt. Wapta, ten miles by trail from Field, British Columbia, at an altitude of 7,000 feet.

PLATE 66",PRICKLY CURRANT,Ribes lacustre (Persoon) Poiret,Prickly currant is found from Pennsylvania to Newfoundland and from California to Alaska.,"The specimen sketched was collected on the slopes of Mt. Wapta, ten miles by trail from Field, British Columbia, at an altitude of 7,000 feet.",66,66,42602696,British Columbia,Canada
